policy,run_dir,seed,success_rate,success_ci_low,success_ci_high,smoothness_mean,smoothness_bootstrap_ci_low,smoothness_bootstrap_ci_high,path_length_mean,collision_rate,endpoint_error,hf_residual_energy_mean,mean_num_model_steps_to_success
gcs_only,runs/maze2d_gcs_only_seed0_20260701_072457,0,0.244,0.21737976517008162,0.27062023482991837,140.00449067906354,126.44363584621749,156.60769383737534,6.010260301535247,0.54,1.2375190308880992,0.43419692842864116,90.94262295081967
rrt_only,runs/maze2d_rrt_only_seed0_20260701_073116,0,0.756,0.7293797651700816,0.7826202348299184,32.3948212601877,31.112460502949528,33.703820590207386,7.3334805041393905,0.084,0.25460140449553725,0.32378667855076493,125.6984126984127
cotrain,runs/maze2d_cotrain_seed0_20260701_073116,0,0.77,0.7439165309055716,0.7960834690944284,31.23586168387608,29.777960414697816,32.67648516738659,7.292782392904356,0.069,0.23897295049577952,0.3198171046450734,127.0051948051948
ambient_scalar,runs/maze2d_ambient_scalar_seed0_20260701_073116,0,0.795,0.7699783142054737,0.8200216857945264,37.31024664849755,35.8521576281246,38.86196626074981,7.039431374927736,0.117,0.27183315010368825,0.3197981695253402,117.52075471698113
sr_tmin,runs/maze2d_sr_tmin_seed0_20260701_073116,0,0.64,0.6102492917731359,0.6697507082268641,54.83390498229187,50.70494156058134,59.577437379190656,7.62002387046814,0.18,0.401760160304606,0.3220706664483166,108.28125
sr_freqmask,runs/maze2d_sr_freqmask_seed0_20260701_072457,0,0.873,0.8523621213880883,0.8936378786119117,63.018606554774436,60.939273502097706,64.93454894355813,7.416225922476385,0.075,0.22060069755464792,0.2937557602347806,121.25544100801832
sr_full,runs/maze2d_sr_full_seed0_20260701_073116,0,0.836,0.8130500822136548,0.8589499177863451,69.76585353999499,66.89442582330126,72.75467216845796,7.5937955981236325,0.027,0.22416400481015444,0.32925227377936245,122.13636363636364
