evaluation,policy,n,success_rate_mean,success_rate_std,collision_rate_mean,collision_rate_std,collision_rate_padded_mean,collision_rate_padded_std,collision_rate_unpadded_mean,collision_rate_unpadded_std,smoothness_mean_mean,smoothness_mean_std,hf_residual_energy_mean_mean,hf_residual_energy_mean_std,action_target_jump_mean_mean,action_target_jump_mean_std,endpoint_error_mean,endpoint_error_std
filtered_padded,sr_freqmask,3,0.47,0.018193405398660236,0.47200000000000003,0.034597687784012385,0.47200000000000003,0.034597687784012385,0.007,0.005196152422706632,29.326497854234443,0.9182211539304889,0.7140544303787975,0.005999564040790554,0.07062844171188772,0.001660064207575982,1.2612921298096578,0.10731883585666968
filtered_padded,sr_freqmask_shuffled_clean_stats,3,0.4633333333333333,0.016010413278030423,0.4666666666666667,0.029091808698211482,0.4666666666666667,0.029091808698211482,0.0026666666666666666,0.002886751345948129,29.327425610437853,1.9062154087740981,0.7126356013108162,0.00606123556007194,0.07115249182470143,0.0008963394293934143,1.239070732275645,0.05025946442288501
filtered_padded,cotrain,3,0.40499999999999997,0.025534290669607402,0.48933333333333334,0.0249466096560902,0.48933333333333334,0.0249466096560902,0.011666666666666665,0.0089628864398325,18.378296050462932,2.5136272219195175,0.6859105555956,0.004565230426440199,0.06545506799593567,0.0014480499437467523,1.2668009686569373,0.06510813769762774
filtered_padded,ambient_sampler_x0_mse,3,0.2936666666666667,0.022143471573656495,0.6213333333333333,0.02250185177565025,0.6213333333333333,0.02250185177565025,0.014666666666666666,0.00971253485622231,17.98959714948816,1.7679787237554683,0.6908610398416204,0.0011669922238304864,0.0681603131207327,0.00011992795861665743,1.6176644854744275,0.10659721093399287
filtered_padded,ambient_scalar_ambient_loss,3,0.107,0.015099668870541498,0.831,0.01100000000000001,0.831,0.01100000000000001,0.012333333333333333,0.005507570547286101,20.96584742390742,1.7273493267341153,0.7115826406600487,0.004292700585274772,0.07315980638408412,0.0014804449538220825,2.238439783150951,0.06663707128413107
raw_padded,sr_freqmask,3,0.522,0.009643650760992963,0.43933333333333335,0.018929694486000927,0.43933333333333335,0.018929694486000927,0.01,0.007211102550927979,331.69337791583297,11.56589169531254,0.7888731262418975,0.0008471058306719513,0.07317369328811765,0.0014335431559768872,1.1295714798718692,0.061142741804684195
raw_padded,sr_freqmask_shuffled_clean_stats,3,0.5046666666666667,0.011503622617824942,0.45133333333333336,0.006806859285554052,0.45133333333333336,0.006806859285554052,0.012666666666666666,0.005507570547286102,352.20129028764666,44.38164188307517,0.7877765396744945,0.00857083513556214,0.07388662669124703,0.0016037860102062667,1.1479278738871217,0.012586049968911118
raw_padded,cotrain,3,0.498,0.01907878402833893,0.422,0.04229657196511318,0.422,0.04229657196511318,0.014666666666666666,0.008144527815247079,110.64252097633131,6.77442695129876,0.7404779021828338,0.006878385450995474,0.06434291805513204,0.000709535702137238,1.0556806231786808,0.06428461822504349
raw_padded,ambient_sampler_x0_mse,3,0.3983333333333334,0.0030550504633038962,0.5186666666666667,0.030664855018951827,0.5186666666666667,0.030664855018951827,0.020666666666666667,0.006658328118479394,122.04037795305997,6.64477559800143,0.7492704691467419,0.00542732449119223,0.06723698549779752,0.0015051800818547674,1.323678724050522,0.10347024108219632
raw_padded,ambient_scalar_ambient_loss,3,0.12866666666666665,0.018009256878986794,0.8093333333333333,0.020550750189064434,0.8093333333333333,0.020550750189064434,0.016666666666666666,0.010016652800877813,199.91292399537767,18.764817283256708,0.7651644060523637,0.007943670925984084,0.07433846386832495,0.0012937873231802133,2.148426322579384,0.09287461372926309
